名  称,类别,最大占比,相似或相克,水分（克）,能量(千卡）,蛋白质（克）,脂肪（克）,碳水化物（克）,膳食纤维（克）,胆固醇（毫克）,维生素A（μg）,维生素B1（毫克）,维生素B2（毫克）,烟酸（毫克）,维生素C（毫克）,维生素E（毫克）,钙（毫克）,磷（毫克）,钾（毫克）,钠（毫克）,镁（毫克）,铁（毫克）,锌（毫克）,硒（μg）,铜（毫克）,锰（毫克）
猪肉（脖子，猪脖）,猪肉,1,猪肉（脖子，猪脖）_猪肉（肥）_猪肉（肥，瘦）_猪肉（后蹄膀，后肘）_猪肉（后臀尖）_猪肉（脊背，里脊）_猪肉（肋条肉）_猪肉（奶面，硬五花，猪排骨肉）_猪肉（奶脯，软五花）_猪肉（前蹄膀，前肘）_猪肉（清蒸）_猪肉（瘦）_猪肉（腿）,35.8,576,8,60.5,0,0,94,9,0.21,0.07,1.7,0,0.61,4,77,99,54,7,1.2,0.59,2.21,0.14,0
猪肉（肥）,猪肉,0.2,猪肉（脖子，猪脖）_猪肉（肥）_猪肉（肥，瘦）_猪肉（后蹄膀，后肘）_猪肉（后臀尖）_猪肉（脊背，里脊）_猪肉（肋条肉）_猪肉（奶面，硬五花，猪排骨肉）_猪肉（奶脯，软五花）_猪肉（前蹄膀，前肘）_猪肉（清蒸）_猪肉（瘦）_猪肉（腿）,8.8,816,2.4,90.4,0,0,109,14.5,0.08,0.05,0.9,0,0.24,3,18,23,19.5,2,1,0.69,7.78,0.05,0.03
猪肉（肥，瘦）,猪肉,1,猪肉（脖子，猪脖）_猪肉（肥）_猪肉（肥，瘦）_猪肉（后蹄膀，后肘）_猪肉（后臀尖）_猪肉（脊背，里脊）_猪肉（肋条肉）_猪肉（奶面，硬五花，猪排骨肉）_猪肉（奶脯，软五花）_猪肉（前蹄膀，前肘）_猪肉（清蒸）_猪肉（瘦）_猪肉（腿）,46.8,395,13.2,37,2.4,0,80,0,0.22,0.16,3.5,0,0.49,6,162,204,59.4,16,1.6,2.06,11.97,0.06,0.03
猪肉（后蹄膀，后肘）,猪肉,1,猪肉（脖子，猪脖）_猪肉（肥）_猪肉（肥，瘦）_猪肉（后蹄膀，后肘）_猪肉（后臀尖）_猪肉（脊背，里脊）_猪肉（肋条肉）_猪肉（奶面，硬五花，猪排骨肉）_猪肉（奶脯，软五花）_猪肉（前蹄膀，前肘）_猪肉（清蒸）_猪肉（瘦）_猪肉（腿）,57.6,320,17,28,0,0,79,4,0.37,0.18,2.6,0,0.48,6,142,188,76.8,12,1,1.77,6.87,0.19,0.01
猪肉（后臀尖）,猪肉,1,猪肉（脖子，猪脖）_猪肉（肥）_猪肉（肥，瘦）_猪肉（后蹄膀，后肘）_猪肉（后臀尖）_猪肉（脊背，里脊）_猪肉（肋条肉）_猪肉（奶面，硬五花，猪排骨肉）_猪肉（奶脯，软五花）_猪肉（前蹄膀，前肘）_猪肉（清蒸）_猪肉（瘦）_猪肉（腿）,55.1,331,14.6,30.8,0,0,0,8,0.26,0.11,2.8,0,0.95,5,130,178,57.5,12,1,0.84,2.94,0.13,0
猪肉（脊背，里脊）,猪肉,1,猪肉（脖子，猪脖）_猪肉（肥）_猪肉（肥，瘦）_猪肉（后蹄膀，后肘）_猪肉（后臀尖）_猪肉（脊背，里脊）_猪肉（肋条肉）_猪肉（奶面，硬五花，猪排骨肉）_猪肉（奶脯，软五花）_猪肉（前蹄膀，前肘）_猪肉（清蒸）_猪肉（瘦）_猪肉（腿）,70.3,155,20.2,7.9,0.7,0,81,2.5,0.47,0.12,5.2,0,0.59,6,184,317,43.2,28,1.5,2.3,5.25,0.16,0.03
猪肉（肋条肉）,猪肉,1,猪肉（脖子，猪脖）_猪肉（肥）_猪肉（肥，瘦）_猪肉（后蹄膀，后肘）_猪肉（后臀尖）_猪肉（脊背，里脊）_猪肉（肋条肉）_猪肉（奶面，硬五花，猪排骨肉）_猪肉（奶脯，软五花）_猪肉（前蹄膀，前肘）_猪肉（清蒸）_猪肉（瘦）_猪肉（腿）,34,568,9.3,59,0,0,98,5,0.09,0.04,2.4,0,0.05,6,67,53,36.7,5,0.8,0.73,2.22,0.13,0.02
猪肉（奶面，硬五花，猪排骨肉）,猪肉,1,猪肉（脖子，猪脖）_猪肉（肥）_猪肉（肥，瘦）_猪肉（后蹄膀，后肘）_猪肉（后臀尖）_猪肉（脊背，里脊）_猪肉（肋条肉）_猪肉（奶面，硬五花，猪排骨肉）_猪肉（奶脯，软五花）_猪肉（前蹄膀，前肘）_猪肉（清蒸）_猪肉（瘦）_猪肉（腿）,53,339,13.6,30.6,2.2,0,79,5,0.36,0.15,3.1,0,0.2,6,120,168,52,15,1.3,2.2,6.05,0.12,0.01
猪肉（奶脯，软五花）,猪肉,1,猪肉（脖子，猪脖）_猪肉（肥）_猪肉（肥，瘦）_猪肉（后蹄膀，后肘）_猪肉（后臀尖）_猪肉（脊背，里脊）_猪肉（肋条肉）_猪肉（奶面，硬五花，猪排骨肉）_猪肉（奶脯，软五花）_猪肉（前蹄膀，前肘）_猪肉（清蒸）_猪肉（瘦）_猪肉（腿）,56.8,349,7.7,35.3,0,0,98,19.5,0.14,0.06,2,0,0.49,5,67,53,36.7,5,0.8,0.73,2.22,0.13,0
猪肉（前蹄膀，前肘）,猪肉,1,猪肉（脖子，猪脖）_猪肉（肥）_猪肉（肥，瘦）_猪肉（后蹄膀，后肘）_猪肉（后臀尖）_猪肉（脊背，里脊）_猪肉（肋条肉）_猪肉（奶面，硬五花，猪排骨肉）_猪肉（奶脯，软五花）_猪肉（前蹄膀，前肘）_猪肉（清蒸）_猪肉（瘦）_猪肉（腿）,54.3,338,15.1,31.5,0,0,79,6.5,0.23,0.14,2,0,0.71,5,181,137,66.1,16,1.2,2.07,32.48,0.22,0
猪肉（清蒸）,猪肉,0.2,猪肉（脖子，猪脖）_猪肉（肥）_猪肉（肥，瘦）_猪肉（后蹄膀，后肘）_猪肉（后臀尖）_猪肉（脊背，里脊）_猪肉（肋条肉）_猪肉（奶面，硬五花，猪排骨肉）_猪肉（奶脯，软五花）_猪肉（前蹄膀，前肘）_猪肉（清蒸）_猪肉（瘦）_猪肉（腿）,71.4,118,18.4,13.8,0,0,62,0,0.09,0.07,2.8,0,0,4,113,134,210.6,9,3.4,3.18,10.55,0.15,0
猪肉（瘦）,猪肉,1,猪肉（脖子，猪脖）_猪肉（肥）_猪肉（肥，瘦）_猪肉（后蹄膀，后肘）_猪肉（后臀尖）_猪肉（脊背，里脊）_猪肉（肋条肉）_猪肉（奶面，硬五花，猪排骨肉）_猪肉（奶脯，软五花）_猪肉（前蹄膀，前肘）_猪肉（清蒸）_猪肉（瘦）_猪肉（腿）,71,143,20.3,6.2,1.5,0,81,22,0.54,0.1,5.3,0,0.34,6,189,305,57.5,25,3,2.99,9.5,0.14,0.03
猪肉（腿）,猪肉,1,猪肉（脖子，猪脖）_猪肉（肥）_猪肉（肥，瘦）_猪肉（后蹄膀，后肘）_猪肉（后臀尖）_猪肉（脊背，里脊）_猪肉（肋条肉）_猪肉（奶面，硬五花，猪排骨肉）_猪肉（奶脯，软五花）_猪肉（前蹄膀，前肘）_猪肉（清蒸）_猪肉（瘦）_猪肉（腿）,67.6,190,17.9,12.8,0.8,0,79,1.5,0.53,0.24,4.9,0,0.3,6,189,305,63,25,0.9,2.99,9.5,0.11,0.03
羊肉（后腿）,羊肉,1,羊肉（后腿）_羊肉（前腿）_羊肉（肥，瘦）_羊肉（胸脯，腰窝）_羊肉（里脊）_羊肉（瘦）,78.8,102,15.5,4,0.9,0,60,4,0.06,0.22,4.8,0,0.37,11,182,143,90.6,20,1.7,2.18,4.49,0.16,0.08
羊肉（前腿）,羊肉,1,羊肉（后腿）_羊肉（前腿）_羊肉（肥，瘦）_羊肉（胸脯，腰窝）_羊肉（里脊）_羊肉（瘦）,78.3,111,19.7,3.6,0,0,60,5.5,0.06,0.24,4.8,0,0.49,12,181,108,92,18,1.5,2.21,5.38,0.15,0.06
羊肉（肥，瘦）,羊肉,1,羊肉（后腿）_羊肉（前腿）_羊肉（肥，瘦）_羊肉（胸脯，腰窝）_羊肉（里脊）_羊肉（瘦）,66.9,198,19,14.1,0,0,92,11,0.05,0.14,4.5,0,0.26,6,146,232,80.6,20,2.3,3.22,32.2,0.75,0.02
羊肉（胸脯，腰窝）,羊肉,1,羊肉（后腿）_羊肉（前腿）_羊肉（肥，瘦）_羊肉（胸脯，腰窝）_羊肉（里脊）_羊肉（瘦）,77.6,109,17.2,4.5,0,0,60,8,0.04,0.22,4,0,0.43,12,150,170,81.9,17,2.3,2.2,6.74,0.14,0.09
羊肉（里脊）,羊肉,1,羊肉（后腿）_羊肉（前腿）_羊肉（肥，瘦）_羊肉（胸脯，腰窝）_羊肉（里脊）_羊肉（瘦）,78.1,94,17.1,2,2,0,60,3,0.05,0.29,5.2,0,0.53,14,184,161,92.1,22,1.7,1.98,5.53,0.15,0.05
羊肉（瘦）,羊肉,1,羊肉（后腿）_羊肉（前腿）_羊肉（肥，瘦）_羊肉（胸脯，腰窝）_羊肉（里脊）_羊肉（瘦）,74.2,118,20.5,3.9,0.2,0,60,5.5,0.15,0.16,5.2,0,0.31,9,196,403,69.4,22,3.9,6.06,7.18,0.12,0.03
艾蒿,蔬菜,1,,86.4,0,0,0,3.6,3.6,0,27,0,0,0,7,0,137,60,677,0,54,7.7,0.78,0,0.28,0.84
白菜（脱水）,蔬菜,1,,10,305,6.2,0.8,72.9,9.4,0,0,0.24,0,4.8,187,0,908,485,2269,492.5,219,13.8,4.68,6.33,0.87,2.65
白菜苔（菜苔菜心）,蔬菜,1,,91.3,28,2.8,0.5,4,1.7,0,80,0.05,0.08,1.2,44,0.52,96,54,236,26,19,2.8,0.87,6.68,0.18,0.41
菠菜（赤根菜）,蔬菜,1,,91.2,28,2.6,0.3,4.5,1.7,0,243,0.04,0.11,0.6,32,1.74,66,47,311,85.2,58,2.9,0.85,0.97,0.1,0.66
菠菜（脱水）,蔬菜,1,,9.2,308,6.4,0.6,75.7,12.7,0,199,0.2,0.18,3.9,82,7.73,411,222,919,242,183,25.9,3.91,7.02,2.08,1.61
菜花（花椰菜）,蔬菜,1,,93.2,20,1.7,0.2,4.2,2.1,0,1,0.04,0.04,0.32,32,0,31,32,206,39.2,18,0.4,0.17,2.86,0.02,0.09
菜花（脱水）,蔬菜,1,,9.8,312,6.5,0.6,76.8,13.2,0,0,0.21,0.18,7.4,82,0,185,182,554,264.3,99,6.4,2.15,5.59,0.79,1.08
莼菜（瓶装，花案板）,蔬菜,1,,94.5,21,1.4,0.1,3.8,0.5,0,55,0,0.01,0.1,0,0.9,42,17,2,7.9,3,2.4,0.67,0.67,0.04,0.26
刺儿菜（蓟蓟菜）,蔬菜,1,,87,174,4.5,0.4,5.9,1.8,0,998,0.04,0.33,2.2,44,0.01,252,40,253,0.2,36,2.3,0.24,0,0.37,0.2
葱头（白皮，脱水）,蔬菜,1,,9.1,342,5.5,0.4,81.9,5.7,0,2,0.16,0.16,1,22,0,186,78,740,31.7,49,0.9,1.02,3.91,0.45,0.62
葱头（紫皮，脱水）,蔬菜,1,,9.1,339,6.9,0.4,80.6,7.5,0,2,0.2,0.14,1,5,0,351,162,912,77.4,132,6.2,1.13,1.83,0.55,0.78
冬瓜,蔬菜,1,,96.9,10,0.3,0.2,2.4,0,0,0,0,0,0.22,16,0.04,12,11,57,2.8,10,0.1,0.1,0.02,0.01,0.02
冬瓜、生的,蔬菜,1,,96.1,13,0.4,0.2,3,2.9,,,0.04,0.11,0.4,13,,19,19,6,111,10,0.4,0.61,0.2,0.02,0.06
冬寒菜（冬苋菜，冬葵）,蔬菜,1,,89.6,34,3.9,0.4,4.9,2.2,1.2,599,0.15,0.05,0.6,20,0,82,56,280,14,30,2.4,1.37,2.41,0.13,2.5
发菜（干）,蔬菜,1,,11.1,259,20.2,0.5,60.8,35,0,0,0.15,0.54,0.9,6,0.07,1048,76,217,100.7,129,85.2,1.68,5.23,0.93,3.29
番茄（西红柿，番柿）,蔬菜,1,,95.2,15,0.9,0.2,3.3,0.5,0,31,0.02,0.01,0.49,14,0.42,4,24,179,9.7,12,0.2,0.12,0.15,0.04,0.06
盖菜,蔬菜,1,,94.8,13,1.5,0.2,2.8,0,0,41,0.02,0.07,0.21,14,0.75,76,33,150,73.5,28,0.5,0.47,0.56,0.04,0.15
观达菜（根达菜，牛皮菜，恭菜）,蔬菜,1,,91.8,23,1.9,0.3,4.5,2.8,0,39,0.01,0.24,0,6.4,0.5,76,17,290,220,64,1.3,0.18,1.4,0.02,0.48
红菜薹,蔬菜,1,,91.1,29,2.9,2.5,2.7,0.9,0,7,0.05,0.04,0.9,57,0.51,26,60,221,1.5,15,2.5,0.9,8.43,0.12,0
胡萝卜（脱水）,蔬菜,1,,10.9,345.8,4.2,1.9,84.3,6.4,0,1438,0.12,0.15,2.6,32,0,458,118,1117,300.7,82,8.5,1.85,4.06,0.81,0.75
葫芦（长瓜，蒲瓜，瓠瓜）,蔬菜,1,,95.3,15.6,0.7,0.1,3.5,0.8,0,3,0.02,0.01,0.4,11,0,16,15,87,0.6,7,0.4,0.14,0.49,0.04,0.08
葫芦条（干）,蔬菜,1,,25.4,256,4.3,1.8,64.6,18.1,0,0,0.05,0.03,1.4,0,0,114,187,480,36.3,80,8,2.8,1.7,0.56,1.64
葫子（茄科）,蔬菜,1,,92.2,29,0.7,0.1,6.8,0.9,0,82,0.01,0.06,0.7,29,1.14,49,27,73,1.2,10,0,0.56,4.4,0.87,0
槐花,蔬菜,1,,78,344,3.1,0.7,17,2.2,0,67,0.04,0.18,6.6,30,0,83,69,0,0,0,3.6,0,0,0,0
黄豆芽,蔬菜,1,,88.8,47,4.5,1.6,4.5,1.5,0,3,0.04,0.07,0.6,8,0.8,21,74,160,7.2,21,0.9,0.54,0.96,0.14,0.34
黄瓜（胡瓜）,蔬菜,1,,95.8,16,0.8,0.2,2.9,0.5,0,8,0.02,0.03,0.2,9,0.49,24,24,102,4.9,15,0.5,0.18,0.38,0.05,0.06
黄瓜、带皮、生的,蔬菜,1,,95.23,15,0.65,0.11,3.63,0.5,,,0.03,0.03,0.1,2.8,,16,24,147,2,13,0.28,0.2,0.3,0.04,0.08
黄瓜、去皮、生的,蔬菜,1,,96.73,12,0.59,0.16,2.16,0.7,,,0.03,0.03,0.04,3.2,,14,21,136,2,12,0.22,0.17,0.1,0.07,0.07
灰灰菜,蔬菜,1,,10.2,1322,18.3,1.5,56.2,0,0,0,0.08,0.3,0,7.7,6.09,210,36,282,16,67,9.8,0.35,0,0.15,0.85
荠菜（蓟菜）,蔬菜,1,,90.6,31,2.9,0.4,4.7,1.7,0,216,0.04,0.15,0.6,43,1.01,294,81,280,31.6,37,5.4,0.68,0.51,0.29,0.65
碱蓬（猪毛菜）,蔬菜,1,,89,138,2.8,0.3,5.2,0.9,0,667,0.26,0.28,0.7,86,0,480,34,0,0,0,8.3,0,0,0,0
茭白（茭笋，茭粑）,蔬菜,1,,92.2,26,1.2,0.2,5.9,1.9,0,5,0.02,0.03,0.5,5,0.99,4,36,209,5.8,8,0.4,0.33,0.45,0.06,0.49
芥菜（鲜，雪里红、雪菜）,蔬菜,1,,91.5,27,2,0.4,4.7,1.6,0,26,0.03,0.11,0.5,31,0.74,230,47,281,30.5,24,3.2,0.7,0.7,0.08,0.42
芥菜（小叶芥菜）,蔬菜,1,,92.6,26,2.5,0.4,3.6,1,0,121,0.05,0.1,0.7,51,2.06,80,40,210,38.9,23,1.5,0.5,0.28,0.06,0.33
芥蓝（甘蓝菜）,蔬菜,1,,91,24,3.1,0.3,4.1,0,0,0,0.03,0.12,0.68,37,0,121,52,345,40.2,40,1,0.4,0.39,0.03,0.31
金针菇（鲜，智力菇）,蔬菜,1,,90.2,32,2.4,0.4,6,2.7,0,2.5,0.15,0.19,4.1,2,1.14,0,97,195,4.3,17,1.4,0.39,0.28,0.14,0.1
茎用芥菜（青菜头）,蔬菜,1,,95,13,1.3,0.2,2.8,2.8,0,23,0,0.02,0.3,7,1.29,23,35,316,41.1,5,0.7,0.25,0.95,0.05,0.1
韭菜、生的,蔬菜,1,,90.65,30,3.27,0.73,4.35,2.5,,,0.08,0.12,0.65,58.1,,92,58,296,3,42,1.6,0.56,0.9,0.16,0.37
菊苣绿，生的,蔬菜,1,,92,23,1.7,0.3,4.7,4,,,0.06,0.1,0.5,24,,100,47,420,45,30,0.9,0.42,0.3,0.3,0.43
卷心菜、泡菜,蔬菜,1,,94.3,15,1.1,0.5,2.4,1.6,,,0.01,0.21,1.1,0,,33,24,151,498,14,2.5,0.22,0.5,0.02,
卷心菜、生的,蔬菜,1,,92.18,25,1.28,0.1,5.8,2.5,,,0.06,0.04,0.23,36.6,,40,26,170,18,12,0.47,0.18,0.3,0.02,0.16
蕨菜（脱水）,蔬菜,1,,7.2,1265,6.6,0.9,79.7,25.5,0,0,0,0.16,2.7,3,0.53,851,253,59,20.4,82,23.7,18.11,6.34,2.79,2.31
苦瓜（凉瓜，赖瓜）,蔬菜,1,,93.4,21.8,1,0.1,4.9,1.4,0,8,0.03,0.03,0.4,56,0.85,14,35,256,2.5,18,0.7,0.36,0.36,0.06,0.16
苦瓜，叶尖，生,蔬菜,1,,89.25,30,5.3,0.69,3.29,,,,0.18,0.36,1.11,88,,84,99,608,11,85,2.04,0.3,0.9,0.2,0.54
苦瓜、豆荚、生的,蔬菜,1,,94.03,17,1,0.17,3.7,2.8,,,0.04,0.04,0.4,84,,19,31,296,5,17,0.43,0.8,0.2,0.03,0.09
苦苦菜,蔬菜,1,,88.2,174,2.5,0.9,6.8,1.8,0,357,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0
菱角,蔬菜,1,,73,101,4.5,0.1,21.4,1.7,0,1,0.19,0.06,1.5,13,0,7,93,437,5.8,49,0.6,0.62,0,0.18,0.38
芦笋（绿，石叼柏，龙须菜）,蔬菜,1,,93.3,19,2.6,0.1,3.3,0,0,2,0.07,0.08,1.12,7,0.19,9,51,304,12.4,18,1.4,0.55,0.62,0.1,0.12
芦笋、生的,蔬菜,1,,93.22,20,2.2,0.12,3.88,2.1,,,0.14,0.14,0.98,5.6,,24,52,202,2,14,2.14,0.54,2.3,0.19,0.16
萝卜、东方萝卜、生的,蔬菜,1,,94.62,18,0.6,0.1,4.1,1.6,,,0.02,0.02,0.2,22,,27,23,227,21,16,0.4,0.15,0.7,0.12,0.04
萝卜缨（白）,蔬菜,1,,90.7,17,2.6,0.3,1.7,1.4,0,0,0.02,0,0,77,0,0,0,0,0,0,0,0,0,0,0
萝卜缨（小，红）,蔬菜,1,,92.8,23,1.6,0.3,4.1,1.4,0,59,0.03,0.13,0.4,51,0.87,238,32,101,43.1,13,0.2,0.29,0.82,0.04,0.45
马齿苋,蔬菜,1,,92,117,2.3,0.5,3.9,0.7,0,372,0.03,0.11,0.7,23,0,85,56,0,0,0,1.5,0,0,0,0
马兰头（马兰鸡儿肠）,蔬菜,1,,91.4,28.2,2.4,0.4,4.6,1.6,0,340,0.06,0.13,0.8,26,0.72,67,38,285,15.2,14,2.4,0.87,0.75,0.13,0.44
奶柿子西红柿,蔬菜,1,,95.6,14,0.6,0.1,3.2,0.8,0,44,0.05,0.02,1,8,1.31,15,21,163,8.3,9,0.4,0.14,0.12,0.45,0.06
牛蒡叶,蔬菜,1,,87,174,4.7,0.8,5.1,2.4,0,650,0.02,0.29,1.1,25,0,242,61,0,0,0,7.6,0,0,0,0
苤蓝（玉蔓菁）,蔬菜,1,,90.8,32,1.3,0.2,7,1.3,0,1.5,0.04,0.02,0.5,41,0.13,25,46,190,29.8,24,0.3,0.17,0.16,0.02,0.11
蒲公英叶（孛孛丁叶）,蔬菜,1,,84,221,4.8,1.1,7,2.1,0,1225,0.03,0.39,1.9,47,0.02,216,93,327,76,54,4,0.35,0,0.44,0.58
荞菜（野荞）,蔬菜,1,,95.6,54,0.7,0.2,2.7,1.2,0,48,0.02,0.02,1.8,5,0.27,89,26,262,109.4,9,1.1,0.42,1.5,0.05,0.19
茄子（白皮，长）,蔬菜,1,,92.5,21,1.3,0.1,5.5,0,0,1,0.05,0.03,0.44,0,0,10,30,238,1.9,16,0.5,0.2,0.16,0.05,0.12
茄子（代表值）,蔬菜,1,,93.4,23,1.1,0.2,4.9,1.3,0,4,0.02,0.04,0.6,5,1.13,24,23,142,5.4,13,0.5,0.23,0.48,0.1,0.13
茄子（绿皮）,蔬菜,1,,92.8,28,1,0.6,5.2,1.2,0,10,0.02,0.2,0.6,7,0.55,12,26,162,6.8,13,0.1,0.24,0.64,0.05,0.07
茄子（紫皮，长）,蔬菜,1,,93.4,18,1.1,0.1,4.8,0,0,0,0.03,0.03,0,0,0,50,21,147,5,11,0.5,0.2,0.09,0.04,0.09
